Time,CAN,Dir,Bit,ID(hex),DLC,D0,D1,D2,D3,D4,D5,D6,D7,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,DFE11A3,8,21,FF,FF,FF,FF,A2,4C,46,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,DFE11A3,2,22,0,,,,,,,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,9F801A3,8,51,4C,6C,20,AC,8F,34,0B,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,9F11200,8,FF,A3,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,19F20038,8,0,1E,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.0,0,RX,29,9FD0205,8,7D,5E,3,C3,9A,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.1,0,RX,29,19F20038,8,0,27,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.1,0,RX,29,9F11200,8,FF,9E,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.1,0,RX,29,9FD0205,8,7E,6E,3,CE,9C,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.1,0,RX,29,DF50B23,8,CC,D5,4,0,0,0,0,FF,,,,,,,,,,,,,,,,,,,
00:13.1,0,RX,29,9F50323,8,CF,2C,1,FF,FF,0,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F51323,8,40,0E,FF,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F51323,8,41,75,E9,B8,1,75,E9,B8,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F51323,2,42,1,,,,,,,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,9F802A3,8,FF,FC,51,14,30,1,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F20138,8,10,1A,0,FF,FF,FF,FF,DB,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F20138,8,11,8D,FF,7F,FF,7F,20,9,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F20138,8,12,4F,0,FF,FF,FF,FF,7F,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F20138,7,13,0,0,0,0,7F,7F,,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F21438,8,0,50,5,FF,7F,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,19F20038,8,0,2B,1F,FF,FF,FF,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,9FD0205,8,7F,44,3,83,9E,FA,FF,FF,,,,,,,,,,,,,,,,,,,
00:13.2,0,RX,29,9F11200,8,FF,94,6,FF,7F,FF,7F,FD,,,,,,,,,,,,,,,,,,,
00:13.3,0,RX,29,1CFF1FA3,8,3B,9F,FF,69,3,FF,FF,FF,,,,,,,,,,,,,,,,,,,
